diario,categoria,ursula_textos,femicidio_textos,ursula_titulos,femicidio_titulos
todonoticias,policiales,144,114,26,14
clarin,sociedad,103,73,14,11
lanacion,seguridad,99,83,11,25
infobae,sociedad,81,43,18,3
telam,policiales,67,46,13,13
perfil,policiales,64,36,13,5
paginadoce,sociedad,61,110,7,8
eldestape,sociedad,49,28,12,8
todonoticias,espectaculos,31,25,4,3
clarin,policiales,25,11,4,3
popular,policiales,20,24,2,1
perfil,sociedad,19,8,6,3
todonoticias,sociedad,17,18,4,4
infobae,espectaculos,16,23,5,5
infobae,opinion,13,14,1,1
ambito,sociedad,11,14,5,10
telam,sociedad,10,11,2,0
diariodeleuco,editorial,9,10,0,1
diariodeleuco,todo,9,0,4,2
clarin,deportes,6,0,0,0
infobae,deportes,6,0,0,1
clarin,cartas-al-pais,5,4,0,0
todonoticias,tecno,5,8,1,1
todonoticias,politica,4,0,0,0
clarin,opinion,3,7,0,1
paginadoce,las12,3,0,0,0
todonoticias,musica,3,3,1,1
todonoticias,opinion,3,1,1,0
perfil,opinion,2,5,1,0
ambito,espectaculos,0,2,1,1
clarin,politica,0,7,0,3
eldestape,politica,0,9,2,2
lanacion,espectaculos,0,0,1,1
lanacion,politica,0,0,0,1
paginadoce,politica,0,5,0,0
paginadoce,rosario12,0,0,1,0
perfil,espectaculos,0,0,2,2
popular,politica,0,0,0,1
telam,politica,0,7,0,1
todonoticias,internacional,0,6,0,0
